,Name,state,summit_elev,vertical_drop,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
0,Alyeska Resort,Alaska,3939,2500,1,0,0,2,2,0,0,2,7,76,2,1,1610,113,150,60,669,65,85,150,550,1
1,Eaglecrest Ski Area,Alaska,2600,1540,0,0,0,0,0,0,4,0,4,36,1,2,640,60,45,44,350,47,53,90,0,1
2,Hilltop Ski Area,Alaska,2090,294,0,0,0,0,0,1,0,2,3,13,1,1,30,30,150,36,69,30,34,152,30,1
3,Arizona Snowbowl,Arizona,11500,2300,0,0,1,0,2,2,1,2,8,55,4,2,777,104,122,81,260,89,89,122,0,0
4,Sunrise Park Resort,Arizona,11100,1800,0,0,0,1,2,3,1,0,7,65,2,1,800,80,115,49,250,74,78,104,80,0
5,Yosemite Ski & Snowboard Area,California,7800,600,0,0,0,0,0,1,3,1,5,10,2,0,88,175,110,84,300,47,47,107,0,0
6,Bear Mountain,California,8805,1665,0,0,0,2,1,2,3,4,12,27,14,2,198,198,122,76,100,85,90,130,0,0
7,Bear Valley,California,8500,1900,0,0,1,1,0,2,4,2,10,67,2,1,1680,100,165,52,359,85,90,151,0,0
8,Boreal Mountain Resort,California,7700,500,0,0,0,1,1,3,1,2,8,33,6,1,380,200,150,54,400,49,90,150,200,0
9,Dodge Ridge,California,8200,1600,0,0,0,0,1,2,5,4,12,67,5,2,862,175,140,69,350,78,78,140,0,0
10,Donner Ski Ranch,California,8012,750,0,0,0,0,0,1,5,2,8,52,2,2,505,60,163,82,400,75,75,170,0,0
11,Heavenly Mountain Resort,California,10067,3500,2,0,2,7,1,5,3,8,28,97,3,6,4800,3379,155,64,360,85,90,157,0,0
12,June Mountain,California,10090,2590,0,0,0,2,0,0,4,1,7,41,2,2,1500,175,128,58,250,85,90,128,0,0
13,Kirkwood,California,9800,2000,0,0,0,2,1,5,1,3,12,85,2,2,2300,200,200,47,354,85,90,167,0,0
14,Mammoth Mountain Ski Area,California,11053,3100,3,0,2,9,1,6,4,0,25,154,7,3,3500,700,243,66,400,149,159,243,0,0
15,Mt. Shasta Ski Park,California,6890,1435,0,0,0,0,0,3,0,1,4,32,2,1,425,225,140,34,300,49,59,130,0,0
