,Name,state,summit_elev,vertical_drop,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac
2,Hilltop Ski Area,Alaska,2090,294,0,0,0,0,0,1,0,2,3,13,1,1,30,30,150,36,69,30,34,152,30
4,Sunrise Park Resort,Arizona,11100,1800,0,0,0,1,2,3,1,0,7,65,2,1,800,80,115,49,250,74,78,104,80
5,Yosemite Ski & Snowboard Area,California,7800,600,0,0,0,0,0,1,3,1,5,10,2,0,88,175,110,84,300,47,47,107,0
8,Boreal Mountain Resort,California,7700,500,0,0,0,1,1,3,1,2,8,33,6,1,380,200,150,54,400,49,90,150,200
9,Dodge Ridge,California,8200,1600,0,0,0,0,1,2,5,4,12,67,5,2,862,175,140,69,350,78,78,140,0
10,Donner Ski Ranch,California,8012,750,0,0,0,0,0,1,5,2,8,52,2,2,505,60,163,82,400,75,75,170,0
12,June Mountain,California,10090,2590,0,0,0,2,0,0,4,1,7,41,2,2,1500,175,128,58,250,85,90,128,0
15,Mt. Shasta Ski Park,California,6890,1435,0,0,0,0,0,3,0,1,4,32,2,1,425,225,140,34,300,49,59,130,0
16,Mountain High,California,8200,1600,0,0,0,2,2,2,5,3,14,59,1,2,290,275,118,95,108,84,84,150,73
20,Ski China Peak,California,8709,1679,0,0,0,0,1,4,2,4,11,45,1,2,1400,150,140,62,300,83,83,144,0
21,Snow Summit,California,8200,1200,0,0,0,2,0,4,5,5,16,27,6,1,240,240,130,67,100,85,90,130,150
22,Snow Valley,California,7841,1041,0,0,0,0,0,5,6,1,12,28,6,1,240,188,111,82,160,69,79,143,164
23,Soda Springs,California,7352,652,0,0,0,0,0,1,1,2,4,18,0,0,200,20,150,83,400,50,50,144,0
25,Tahoe Donner,California,7350,600,0,0,0,0,1,1,0,3,5,14,2,1,120,175,150,48,400,69,69,144,0
37,Monarch Mountain,Colorado,11952,1162,0,0,0,0,1,0,4,2,7,64,2,1,800,175,143,80,350,89,89,136,0
40,Cooper,Colorado,11700,1200,0,0,0,0,0,1,1,2,4,41,1,1,400,175,130,74,260,56,56,130,0
41,Ski Granby Ranch,Colorado,9202,1000,0,0,0,2,0,1,1,1,5,40,1,1,406,170,116,36,220,84,84,92,100
43,Sunlight Mountain Resort,Colorado,9895,2010,0,0,0,0,0,1,2,0,3,67,1,2,680,30,100,53,250,65,65,135,0
48,Mohawk Mountain,Connecticut,1600,650,0,0,0,0,0,5,0,3,8,25,0,2,107,100,110,72,92,30,65,110,64
49,Mount Southington Ski Area,Connecticut,525,425,0,0,0,0,0,2,2,3,7,14,2,0,51,51,63,55,80,60,60,95,51
50,Powder Ridge Park,Connecticut,720,550,0,0,0,0,0,1,2,2,5,19,4,0,80,68,80,60,80,45,55,100,40
51,Ski Sundown,Connecticut,1075,625,0,0,0,0,0,3,0,2,5,16,2,1,70,70,84,50,45,62,62,95,66
52,Woodbury Ski Area,Connecticut,730,300,0,0,0,0,0,0,1,4,5,12,2,0,50,50,126,57,70,42,42,180,35
55,Kelly Canyon Ski Area,Idaho,6600,1000,0,0,0,0,0,0,4,2,6,51,1,1,740,175,115,62,200,57,42,120,0
56,Lookout Pass Ski Area,Idaho,5650,1150,0,0,0,0,0,1,3,0,4,35,2,2,540,175,113,84,400,44,47,140,0
57,Magic Mountain Ski Area,Idaho,7200,700,0,0,0,0,0,0,1,2,3,11,0,2,280,175,65,81,180,32,32,70,0
58,Pebble Creek Ski Area,Idaho,8560,2200,0,0,0,0,0,3,0,0,3,54,2,1,1100,30,85,70,250,47,47,91,30
59,Pomerelle Mountain Resort,Idaho,9000,1000,0,0,0,0,0,1,1,1,3,24,2,2,500,50,138,56,500,57,56,138,100
62,Soldier Mountain Ski Area,Idaho,7200,1400,0,0,0,0,0,0,2,1,3,36,0,0,1142,175,60,71,185,43,43,60,0
65,Chestnut Mountain Resort,Illinois,1040,475,0,0,0,0,2,4,0,3,9,22,3,0,139,139,87,60,50,40,55,112,139
67,Ski Snowstar Winter Sports Park,Illinois,790,262,0,0,0,0,2,0,2,2,6,15,1,1,28,28,56,38,38,25,35,86,28
68,Villa Olivia,Illinois,500,180,0,0,0,0,1,0,0,6,7,7,1,0,15,15,70,53,25,40,40,70,15
69,Paoli Peaks,Indiana,900,300,0,0,0,1,1,3,1,2,8,15,2,0,65,65,75,41,18,38,45,80,65
70,Perfect North Slopes,Indiana,800,400,0,0,0,0,2,3,0,6,11,23,2,1,100,100,82,39,24,52,52,90,100
71,Mt. Crescent Ski Area,Iowa,1500,300,0,0,0,0,1,0,1,0,2,11,1,0,50,50,115,58,30,29,39,120,50
72,Seven Oaks,Iowa,975,275,0,0,0,0,0,2,0,2,4,11,2,1,35,35,100,22,40,40,40,100,35
73,Sundown Mountain,Iowa,1059,475,0,0,0,0,1,1,2,2,6,21,2,1,55,55,115,46,45,38,46,120,55
75,Camden Snow Bowl,Maine,1080,850,0,0,0,0,0,1,1,1,3,26,2,1,100,48,68,83,69,33,43,70,48
76,Lost Valley,Maine,495,240,0,0,0,0,0,0,2,2,4,22,2,0,45,45,87,58,50,29,55,104,45
77,Mt. Abram Ski Resort,Maine,2250,1150,0,0,0,0,0,0,2,3,5,54,1,0,640,175,120,59,125,29,49,120,0
79,New Hermon Mountain,Maine,450,350,0,0,0,0,0,0,1,2,3,20,0,2,70,70,102,55,90,32,32,117,45
80,Shawnee Peak,Maine,1900,1350,0,0,0,0,1,2,1,2,6,43,3,1,239,234,97,81,110,55,75,103,110
83,Wisp,Maryland,3115,700,0,0,0,0,2,5,0,5,12,34,3,2,172,118,121,64,100,59,79,120,118
84,Berkshire East,Massachusetts,1720,1180,0,0,0,0,2,1,1,2,6,47,2,2,180,165,120,68,120,48,68,120,80
85,Blandford Ski Area,Massachusetts,1685,465,0,0,0,0,0,0,3,2,5,29,2,0,132,70,115,83,50,20,45,120,70
91,Otis Ridge Ski Area,Massachusetts,1700,400,0,0,0,0,0,0,1,3,4,11,1,1,60,55,106,73,70,20,40,106,35
93,Ski Ward,Massachusetts,420,210,0,0,0,0,0,1,0,3,4,11,1,0,45,45,105,50,80,41,57,120,38
95,Alpine Valley Ski Area,Michigan,500,240,0,0,0,0,1,2,5,6,14,25,3,0,100,100,115,57,20,39,47,120,100
96,Apple Mountain,Michigan,820,220,0,0,0,0,1,0,0,5,6,12,0,1,80,42,115,58,52,35,35,120,80
99,Big Snow Resort - Blackjack,Michigan,850,465,0,0,0,0,0,0,4,2,6,26,2,1,170,86,95,42,210,49,65,115,0
102,Caberfae Peaks,Michigan,1569,485,0,0,0,0,1,2,1,1,5,34,2,1,200,200,118,82,140,39,49,130,150
105,Big Snow Resort - Indianhead Mountain,Michigan,1935,638,0,0,0,0,1,1,5,2,9,32,2,1,240,150,120,60,204,49,49,120,0
106,Marquette Mountain,Michigan,1357,600,0,0,0,0,0,1,2,1,4,35,3,1,169,143,139,60,210,45,53,135,89
107,Mont Ripley,Michigan,1140,440,0,0,0,0,0,0,2,2,4,25,2,1,112,112,114,83,275,49,49,100,100
110,Mt. Holiday Ski Area,Michigan,440,200,0,0,0,0,0,0,2,2,4,12,0,0,45,45,100,70,120,22,34,90,45
111,Mount Holly,Michigan,1105,350,0,0,0,1,2,3,1,6,13,19,0,0,100,100,102,63,42,37,45,102,100
113,Norway Mountain,Michigan,1335,500,0,0,0,0,0,1,2,3,6,17,1,1,186,186,110,45,100,45,45,110,40
116,Pine Mountain,Michigan,1650,500,0,0,0,0,0,1,2,1,4,28,1,0,160,160,110,80,60,45,45,126,80
119,Snow Snake Mountain Ski Area,Michigan,1230,210,0,0,0,0,0,1,0,5,6,12,2,0,40,40,115,72,185,30,35,120,40
120,Swiss Valley,Michigan,1200,225,0,0,0,0,2,1,0,4,7,11,2,0,60,60,89,51,60,32,42,80,60
122,Timber Ridge,Michigan,850,250,0,0,0,0,1,1,2,4,8,16,2,0,50,50,80,58,185,35,45,80,50
123,Treetops Resort,Michigan,1345,225,0,0,0,0,0,3,0,2,5,23,3,0,80,80,63,65,175,45,53,101,80
125,Andes Tower Hills Ski Area,Minnesota,1620,290,0,0,0,0,1,2,0,3,6,15,2,0,35,35,100,38,55,45,45,110,35
126,Buck Hill,Minnesota,1225,309,0,0,0,0,2,1,0,5,8,16,0,0,45,45,115,65,60,34,47,112,45
127,Buena Vista Ski Area,Minnesota,1510,230,0,0,0,0,0,2,2,2,6,17,0,0,30,30,57,70,78,44,44,60,30
128,Coffee Mill Ski & Snowboard Resort,Minnesota,1150,425,0,0,0,0,0,0,2,1,3,14,1,1,40,35,57,39,48,23,37,56,35
130,Giants Ridge Resort,Minnesota,1972,500,0,0,0,1,1,1,2,2,7,35,2,1,202,202,120,35,85,49,58,125,121
131,Hyland Ski & Snowboard Area,Minnesota,1075,175,0,0,0,0,2,1,0,5,8,14,1,1,35,35,110,61,55,35,35,115,35
134,Powder Ridge Ski Area,Minnesota,790,300,0,0,0,0,1,0,2,3,6,15,4,1,60,60,97,58,45,36,48,113,60
135,Spirit Mountain,Minnesota,1320,700,0,0,0,1,1,2,1,2,7,22,3,1,175,175,100,45,100,59,59,125,144
138,Hidden Valley Ski Area,Missouri,2566,310,0,0,0,0,2,2,0,3,7,17,0,0,30,30,115,37,26,49,49,120,17
139,Snow Creek,Missouri,1100,300,0,0,0,0,0,2,1,2,5,14,2,0,30,30,69,33,20,37,47,85,30
146,Maverick Mountain,Montana,8520,2020,0,0,0,0,0,0,1,1,2,22,0,1,255,175,115,83,160,39,39,120,0
147,Montana Snowbowl,Montana,7600,2600,0,0,0,0,0,0,2,2,4,37,0,1,950,20,115,58,300,50,50,120,10
149,Showdown Montana,Montana,8200,1400,0,0,0,0,0,1,2,1,4,36,1,2,640,175,86,83,250,47,47,85,0
154,Lee Canyon,Nevada,11289,860,0,0,0,0,2,1,0,0,3,24,1,0,195,50,144,56,161,70,70,150,0
156,Attitash,New Hampshire,2350,1750,0,0,0,2,1,3,2,1,9,68,3,3,311,240,115,54,120,79,89,130,0
157,Black Mountain,New Hampshire,2350,1100,0,0,0,0,0,1,1,3,5,45,0,2,143,120,110,84,125,45,59,107,0
160,Cranmore Mountain Resort,New Hampshire,2000,1200,0,0,0,1,1,2,1,2,7,57,4,1,200,192,107,82,150,66,76,128,0
162,Dartmouth Skiway,New Hampshire,1943,969,0,0,0,0,1,0,1,2,4,28,1,1,107,54,104,63,100,50,50,105,0
163,Gunstock,New Hampshire,2300,1400,0,0,0,1,2,2,0,1,6,55,4,2,227,176,106,82,120,80,92,106,60
164,King Pine,New Hampshire,850,350,0,0,0,0,0,3,0,3,6,17,2,0,48,45,105,57,120,42,58,107,23
166,Mount Sunapee,New Hampshire,2743,1510,0,0,0,2,1,2,1,4,10,66,4,1,232,215,130,71,100,83,93,136,0
167,Pats Peak,New Hampshire,1460,770,0,0,0,0,0,4,2,5,11,28,3,2,115,115,109,56,100,58,72,112,93
169,Waterville Valley,New Hampshire,4004,2020,0,0,0,2,0,2,3,4,11,62,4,2,265,220,142,54,148,79,93,142,0
170,Whaleback Mountain,New Hampshire,1800,700,0,0,0,0,0,0,1,3,4,30,1,1,85,60,105,64,110,30,45,105,55
171,Wildcat Mountain,New Hampshire,4062,2112,0,0,0,1,0,3,0,1,5,48,0,3,225,200,156,61,200,79,89,150,0
172,Campgaw Mountain,New Jersey,726,274,0,0,0,0,0,0,2,3,5,12,1,0,23,23,80,58,45,80,80,80,14
174,Angel Fire Resort,New Mexico,10677,2077,0,0,0,2,0,0,3,2,7,81,3,3,560,230,101,53,210,77,77,101,50
175,Enchanted Forest Ski Area,New Mexico,10078,400,0,0,0,0,0,0,0,0,0,33,0,2,600,175,130,34,240,20,20,140,0
176,Pajarito Mountain Ski Area,New Mexico,10441,1410,0,0,0,0,1,1,3,1,6,45,2,1,750,35,89,62,163,49,49,117,0
177,Red River,New Mexico,10350,1600,0,0,0,0,1,3,1,2,7,63,3,2,209,175,110,60,214,79,79,110,0
179,Sipapu Ski Resort,New Mexico,9255,1055,0,0,0,0,1,2,0,3,6,42,4,0,200,140,127,67,190,47,47,143,0
181,Ski Santa Fe,New Mexico,12075,1725,0,0,0,0,1,2,2,2,7,83,1,3,660,275,107,73,225,80,80,130,0
185,Bristol Mountain,New York,2200,1200,0,0,0,2,1,1,1,1,6,34,3,2,160,148,129,55,60,65,76,129,154
187,Catamount,New York,2000,1000,0,0,0,0,1,1,2,3,7,36,5,2,133,130,100,80,108,38,69,90,55
188,Dry Hill Ski Area,New York,950,300,0,0,0,0,0,0,1,2,3,7,1,0,35,26,115,55,125,50,35,120,26
190,Greek Peak,New York,2100,952,0,0,0,0,1,1,4,2,8,56,4,2,220,184,110,62,122,49,63,113,175
191,Holiday Mountain,New York,1550,400,0,0,0,0,1,0,1,2,4,9,0,0,37,37,75,60,50,27,42,85,37
193,Holimont Ski Area,New York,2260,700,0,0,0,1,1,2,3,1,8,53,3,2,135,135,110,57,180,62,75,119,0
197,Labrador Mt.,New York,1825,700,0,0,0,0,0,1,2,1,4,23,1,1,250,237,100,62,125,59,59,100,180
198,Maple Ski Ridge,New York,1200,450,0,0,0,0,0,1,1,1,3,10,0,0,25,25,115,57,185,26,38,120,20
199,McCauley Mountain Ski Center,New York,2250,633,0,0,0,0,0,0,1,4,5,23,1,0,70,55,105,61,200,20,30,105,0
200,Mount Peter Ski Area,New York,1250,450,0,0,0,0,1,0,2,2,5,14,1,1,69,69,100,83,50,35,54,100,69
201,Oak Mountain,New York,2400,650,0,0,0,0,1,0,0,3,4,22,1,1,46,18,115,71,120,40,40,120,12
203,Plattekill Mountain,New York,3500,1100,0,0,0,0,0,1,1,2,4,38,1,2,110,75,65,26,175,50,67,65,0
204,Royal Mountain Ski Area,New York,1800,550,0,0,0,0,0,0,3,0,3,14,0,0,35,28,115,63,90,45,45,120,0
205,Snow Ridge,New York,2000,650,0,0,0,0,0,0,4,2,6,21,2,1,130,65,73,74,230,38,48,100,40
206,Song Mountain,New York,1940,700,0,0,0,0,0,1,1,3,5,24,0,0,93,70,90,55,125,59,59,122,70
208,Thunder Ridge,New York,1270,500,0,0,0,0,0,1,2,3,6,30,0,0,100,100,121,60,185,50,57,121,100
209,Titus Mountain,New York,2025,1200,0,0,0,0,0,2,6,2,10,50,3,2,200,150,101,59,150,39,49,100,70
210,Toggenburg Mountain,New York,2000,700,0,0,0,0,0,1,1,3,5,22,2,0,85,175,122,66,130,55,55,122,73
211,West Mountain,New York,1470,1010,0,0,0,0,0,1,2,2,5,29,1,1,124,105,120,58,80,49,59,120,105
215,Woods Valley Ski Area,New York,1400,500,0,0,0,0,0,0,2,4,6,21,0,0,25,16,115,55,180,31,39,120,15
216,Appalachian Ski Mountain,North Carolina,4000,365,0,0,0,0,2,0,1,2,5,12,3,0,27,27,100,57,50,40,64,100,27
217,Cataloochee Ski Area,North Carolina,5400,740,0,0,0,0,1,1,1,2,5,18,2,1,50,50,141,58,50,43,70,108,50
221,Wolf Ridge Ski Resort,North Carolina,4700,720,0,0,0,0,1,0,1,2,4,15,1,1,65,65,100,49,65,42,65,100,60
222,Alpine Valley,Ohio,1500,230,0,0,0,0,1,2,1,1,5,11,1,0,72,72,105,53,120,43,43,105,72
