,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE_flights,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,AIRLINE_airlines,AIRPORT_OriginAirport,CITY_OriginAirport,STATE_OriginAirport,COUNTRY_OriginAirport,LATITUDE_OriginAirport,LONGITUDE_OriginAirport,AIRPORT_DestinationAirport,CITY_DestinationAirport,STATE_DestinationAirport,COUNTRY_DestinationAirport,LATITUDE_DestinationAirport,LONGITUDE_DestinationAirport
339652,2015-01-01 00:00:00,1900-01-01 00:01:00,1900-01-23 00:00:00,5,WN,319,N751SW,ATL,BOS,850,851.0,1.0,15.0,906.0,155.0,136.0,114.0,946,1100.0,7.0,1125,1107.0,-18.0,0,0,,,,,,,Southwest Airlines Co.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518
2009574,2015-01-01 00:00:00,1900-01-01 00:05:00,1900-01-08 00:00:00,5,EV,4989,N722EV,GSO,ATL,1244,1238.0,-6.0,11.0,1249.0,75.0,68.0,50.0,306,1339.0,7.0,1359,1346.0,-13.0,0,0,,,,,,,Atlantic Southeast Airlines,Piedmont Triad International Airport,Greensboro,NC,USA,36.09775,-79.9373,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
765050,2015-01-01 00:00:00,1900-01-01 00:02:00,1900-01-20 00:00:00,5,OO,6394,N507CA,DEN,MSN,955,946.0,-9.0,14.0,1000.0,130.0,133.0,115.0,826,1255.0,4.0,1305,1259.0,-6.0,0,0,,,,,,,Skywest Airlines Inc.,Denver International Airport,Denver,CO,USA,39.85841,-104.667,Dane County Regional Airport,Madison,WI,USA,43.13986,-89.33751
5692858,2015-01-01 00:00:00,1900-01-01 00:12:00,1900-01-23 00:00:00,3,OO,5231,N971SW,DEN,SLC,1515,1515.0,0.0,15.0,1530.0,97.0,90.0,69.0,391,1639.0,6.0,1652,1645.0,-7.0,0,0,,,,,,,Skywest Airlines Inc.,Denver International Airport,Denver,CO,USA,39.85841,-104.667,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777
1964641,2015-01-01 00:00:00,1900-01-01 00:05:00,1900-01-05 00:00:00,2,AA,2299,N502AA,DFW,TPA,1810,1806.0,-4.0,12.0,1818.0,145.0,136.0,120.0,929,2118.0,4.0,2135,2122.0,-13.0,0,0,,,,,,,American Airlines Inc.,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325
1766992,2015-01-01 00:00:00,1900-01-01 00:04:00,1900-01-23 00:00:00,4,UA,682,N833UA,ORD,LGA,1300,1313.0,13.0,17.0,1330.0,131.0,121.0,99.0,733,1609.0,5.0,1611,1614.0,3.0,0,0,,,,,,,United Air Lines Inc.,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261
290071,2015-01-01 00:00:00,1900-01-01 00:01:00,1900-01-20 00:00:00,2,MQ,3302,N604MQ,MLI,DFW,602,606.0,4.0,51.0,657.0,152.0,168.0,112.0,691,849.0,5.0,834,854.0,20.0,0,0,,20.0,0.0,0.0,0.0,0.0,American Eagle Airlines Inc.,Quad City International Airport,Moline,IL,USA,41.44853,-90.50754,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
5271701,2015-01-01 00:00:00,1900-01-01 00:11:00,1900-01-26 00:00:00,4,UA,2023,N417UA,SFO,PSP,1100,1101.0,1.0,17.0,1118.0,94.0,81.0,60.0,421,1218.0,4.0,1234,1222.0,-12.0,0,0,,,,,,,United Air Lines Inc.,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484,Palm Springs International Airport,Palm Springs,CA,USA,33.82922,-116.50625
3119924,2015-01-01 00:00:00,1900-01-01 00:07:00,1900-01-14 00:00:00,2,B6,184,N197JB,RDU,BOS,2059,2127.0,28.0,14.0,2141.0,108.0,111.0,92.0,612,2313.0,5.0,2247,2318.0,31.0,0,0,,3.0,0.0,0.0,28.0,0.0,JetBlue Airways,Raleigh-Durham International Airport,Raleigh,NC,USA,35.87764,-78.78747,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518
1265060,2015-01-01 00:00:00,1900-01-01 00:03:00,1900-01-23 00:00:00,1,US,511,N837AW,OMA,PHX,1425,1417.0,-8.0,17.0,1434.0,169.0,174.0,151.0,1037,1505.0,6.0,1514,1511.0,-3.0,0,0,,,,,,,US Airways Inc.,Eppley Airfield,Omaha,NE,USA,41.30252,-95.89417,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806
